205,Brice Sensabaugh,UTA,6,14.8,6.3,2.2,4.7,46.4,1.3,3.0,44.4,0.7,0.8,80.0,0.8,1.3,2.2,0.7,0.5,0.0,1.2,5.8
206,Noah Clowney,BKN,7,16.1,6.1,2.0,6.3,31.8,1.0,3.4,29.2,1.1,1.4,80.0,1.1,2.1,3.3,0.4,0.3,0.6,0.4,5.7
206,Simone Fontecchio,DET,7,19.4,6.1,1.7,5.3,32.4,1.1,3.6,32.0,1.6,2.0,78.6,1.0,2.6,3.6,0.4,0.0,0.1,0.7,5.6
208,Keaton Wallace,ATL,5,14.2,6.0,2.2,4.0,55.0,1.2,2.2,54.5,0.4,0.4,100,0.2,1.2,1.4,1.2,0.6,0.2,0.6,7.0
208,Kentavious Caldwell-Pope,ORL,7,28.1,6.0,1.9,5.9,31.7,1.0,4.6,21.9,1.3,1.3,100,0.4,0.9,1.3,1.3,1.1,0.7,0.6,5.9
208,Keon Ellis,SAC,5,17.8,6.0,2.0,3.8,52.6,0.8,2.2,36.4,1.2,1.4,85.7,0.8,1.2,2.0,1.0,1.4,1.4,0.6,9.2
208,Ousmane Dieng,OKC,6,14.7,6.0,2.2,5.2,41.9,1.0,3.3,30.0,0.7,0.8,80.0,0.3,2.7,3.0,1.0,0.7,0.5,0.0,8.0
208,Yves Missi,NOP,7,21.6,6.0,2.4,5.6,43.6,0.0,0.0,0.0,1.1,2.0,57.1,2.9,3.1,6.0,1.7,0.6,1.6,0.7,11.1
213,Ben Simmons,BKN,6,24.3,5.8,2.7,4.3,61.5,0.0,0.0,0.0,0.5,0.7,75.0,1.0,5.0,6.0,6.2,0.7,0.7,3.3,14.2
214,Luke Kornet,BOS,7,19.0,5.7,1.9,2.9,65.0,0.0,0.0,0.0,2.0,2.1,93.3,2.3,1.9,4.1,1.7,0.6,1.0,0.6,11.4
215,Kevon Looney,GSW,6,16.2,5.7,2.0,4.3,46.2,0.0,0.0,0.0,1.7,2.7,62.5,3.8,4.0,7.8,1.8,1.2,0.7,0.8,13.0
216,Cameron Payne,NYK,5,15.4,5.6,2.4,6.6,36.4,0.8,3.0,26.7,0.0,0.2,0.0,0.6,1.4,2.0,3.2,0.6,0.2,0.4,6.8
216,Dalano Banton,POR,5,6.8,5.6,2.0,3.0,66.7,0.6,1.2,50.0,1.0,2.0,50.0,0.2,0.4,0.6,1.4,0.4,0.4,0.8,5.6
216,Marcus Smart,MEM,5,19.8,5.6,1.6,6.8,23.5,0.6,3.6,16.7,1.8,2.2,81.8,1.0,1.2,2.2,2.8,1.2,0.6,1.4,5.4
