GP_2-3,MIN_2-3,PTS_2-3,FGM_2-3,FGA_2-3,FG%_2-3,3PM_2-3,3PA_2-3,3P%_2-3,FTM_2-3,FTA_2-3,FT%_2-3,OREB_2-3,DREB_2-3,REB_2-3,AST_2-3,STL_2-3,BLK_2-3,TOV_2-3,EFF_2-3,GP_1-2,MIN_1-2,PTS_1-2,FGM_1-2,FGA_1-2,FG%_1-2,3PM_1-2,3PA_1-2,3P%_1-2,FTM_1-2,FTA_1-2,FT%_1-2,OREB_1-2,DREB_1-2,REB_1-2,AST_1-2,STL_1-2,BLK_1-2,TOV_1-2,EFF_1-2,GP_0-1,MIN_0-1,PTS_0-1,FGM_0-1,FGA_0-1,FG%_0-1,3PM_0-1,3PA_0-1,3P%_0-1,FTM_0-1,FTA_0-1,FT%_0-1,OREB_0-1,DREB_0-1,REB_0-1,AST_0-1,STL_0-1,BLK_0-1,TOV_0-1,EFF_0-1
11,34.9,19.5,6.8,14.1,48.4,3.1,6.5,47.2,2.8,3.3,86.1,0.2,2.7,2.9,6.2,1.4,0.0,2.5,19.7,80,31.1,14.0,5.0,11.6,43.5,1.7,4.6,37.5,2.2,2.7,83.6,0.5,2.5,3.0,6.1,0.8,0.2,1.9,15.3,67,29.6,12.4,4.0,9.7,41.5,1.1,3.4,32.9,3.2,3.8,85.7,0.3,2.1,2.5,4.4,0.7,0.1,1.7,12.3
11,27.2,11.2,4.4,8.7,50.0,1.7,3.8,45.2,0.7,1.0,72.7,1.5,2.0,3.5,1.2,1.1,0.4,1.4,11.4,76,23.5,8.6,3.1,6.5,48.3,1.1,3.1,34.3,1.3,1.8,71.3,1.1,2.2,3.3,1.0,0.7,0.7,0.9,9.6,64,14.0,5.0,1.8,3.6,50.0,0.4,1.3,33.8,1.0,1.3,73.8,0.9,1.5,2.4,0.5,0.5,0.6,0.4,6.4
12,34.8,19.8,6.8,13.8,48.8,3.9,9.2,42.7,2.4,2.8,87.9,1.0,3.7,4.7,4.4,1.0,1.1,1.4,22.2,73,32.6,15.2,5.3,11.5,46.1,2.7,6.8,39.6,1.9,2.1,90.1,0.7,3.5,4.2,5.2,1.0,1.2,1.5,18.8,82,28.3,12.4,4.3,9.2,46.2,1.8,4.8,38.1,2.0,2.3,87.5,0.6,2.9,3.6,3.9,0.7,0.9,1.2,15.0
11,32.0,11.7,4.3,10.9,39.2,1.7,5.0,34.5,1.5,1.5,94.1,1.4,2.3,3.6,0.9,0.7,0.2,0.5,9.9,72,30.9,12.7,4.6,10.7,42.8,1.8,5.1,35.9,1.7,2.0,84.4,0.7,2.7,3.4,1.7,0.9,0.1,1.2,11.2,73,30.3,14.3,5.4,13.6,39.6,2.0,6.0,32.6,1.6,2.1,77.9,0.6,2.7,3.3,2.6,0.9,0.2,1.4,11.3
11,36.8,20.7,7.9,12.5,63.5,0.8,2.2,37.5,4.1,4.9,83.3,3.1,9.7,12.8,6.6,0.7,0.2,3.0,32.7,82,35.7,19.4,7.7,13.0,59.4,0.4,1.1,37.9,3.6,5.1,70.4,3.6,10.1,13.7,8.2,0.9,0.6,3.3,32.7,79,34.6,19.1,7.3,11.9,61.5,0.4,1.1,37.3,4.1,5.5,74.2,3.2,9.1,12.3,7.3,0.8,0.5,2.9,31.1
10,27.5,10.8,3.6,9.8,36.7,2.5,7.6,32.9,1.1,1.4,78.6,0.6,3.0,3.6,3.7,1.6,0.4,1.9,11.7,81,29.1,15.5,5.5,12.4,44.3,3.5,8.7,40.1,1.1,1.4,75.4,0.8,2.9,3.7,2.7,1.3,0.4,1.4,15.0,72,26.3,9.4,3.3,7.5,43.5,2.1,5.3,39.7,0.8,1.0,81.7,1.1,3.4,4.5,3.5,1.3,0.1,1.6,12.9
10,28.9,10.0,3.7,8.4,44.0,1.9,5.5,34.5,0.7,1.2,58.3,2.1,2.9,5.0,1.6,1.2,0.6,1.3,11.9,68,28.5,8.5,3.2,7.5,42.1,1.7,4.9,34.8,0.5,0.7,71.7,1.6,3.1,4.7,1.6,0.8,0.6,0.9,10.7,66,30.4,8.3,3.0,7.6,39.1,1.7,5.1,33.7,0.7,0.9,76.3,1.7,3.1,4.8,1.5,0.8,0.5,0.9,10.3
9,9.3,2.4,0.7,0.8,85.7,0.0,0.0,0.0,1.1,1.6,71.4,0.8,1.6,2.3,0.6,0.3,0.4,0.3,5.2,63,13.3,3.3,1.1,1.7,67.9,0.0,0.0,33.3,1.0,1.4,70.8,1.5,1.9,3.4,1.3,0.4,0.3,0.5,7.3,76,19.2,6.7,2.6,3.5,73.2,0.0,0.1,0.0,1.5,2.2,66.7,2.0,2.2,4.1,0.9,0.6,0.3,0.9,10.1
10,33.1,14.3,6.1,13.0,46.9,1.1,4.1,26.8,1.0,1.9,52.6,1.0,3.3,4.3,2.9,3.6,0.7,1.7,16.3,61,22.3,5.8,2.3,5.1,44.7,0.7,2.2,31.1,0.6,0.9,64.2,1.0,2.9,3.9,2.7,1.4,0.4,1.0,10.1,59,17.7,3.8,1.5,3.5,41.8,0.5,1.5,31.4,0.4,0.7,65.0,0.6,2.6,3.2,2.3,0.7,0.2,1.0,7.0
8,20.6,6.1,1.9,4.9,38.5,0.9,2.9,30.4,1.5,2.0,75.0,0.3,0.5,0.8,1.5,0.1,0.3,1.1,4.1,68,27.8,11.0,4.0,9.1,44.3,2.2,5.8,37.8,0.8,0.9,79.7,0.2,1.6,1.8,2.0,1.0,0.4,1.1,9.9,69,28.5,12.4,4.2,9.5,44.6,1.9,5.2,37.1,2.1,2.5,82.1,0.2,1.7,1.9,2.7,0.6,0.4,1.5,10.8
